,Distance
0,6.809442895
1,6.809442895
2,13.06327572
3,9.62325228
4,6.809442895
5,9.62325228
6,9.62325228
7,14.24503037
8,14.24503037
9,9.62325228
10,6.809442895
11,6.809442895
12,9.62325228
13,9.62325228
14,6.809442895
15,14.24503037
16,6.809442895
17,6.809442895
18,6.809442895
19,9.62325228
20,9.62325228
21,9.62325228
22,6.809442895
23,6.809442895
24,6.809442895
25,6.809442895
26,6.809442895
27,6.809442895
28,6.809442895
29,6.809442895
30,6.809442895
31,6.809442895
32,6.809442895
33,6.809442895
34,6.809442895
35,6.809442895
36,9.62325228
37,9.62325228
38,9.62325228
39,6.809442895
40,6.809442895
41,6.809442895
42,6.809442895
43,6.809442895
44,9.62325228
45,6.809442895
46,9.62325228
47,9.62325228
48,6.809442895
49,9.62325228
50,6.809442895
51,6.809442895
52,6.809442895
53,6.809442895
54,6.809442895
55,6.809442895
56,6.809442895
57,6.809442895
58,6.809442895
59,6.809442895
60,6.809442895
61,6.809442895
62,6.809442895
63,6.809442895
64,6.809442895
65,6.809442895
66,6.809442895
67,6.809442895
68,6.809442895
69,6.809442895
70,6.809442895
71,9.62325228
72,6.809442895
73,6.809442895
74,6.809442895
75,6.809442895
76,6.809442895
77,9.62325228
78,6.809442895
79,6.809442895
80,6.809442895
81,9.62325228
82,6.809442895
83,6.809442895
84,9.62325228
85,9.62325228
86,6.809442895
87,6.809442895
88,6.809442895
89,14.24503037
90,6.809442895
91,6.809442895
92,6.809442895
93,6.809442895
94,6.809442895
95,6.809442895
96,6.809442895
97,6.809442895
98,9.62325228
99,6.809442895
100,9.62325228
101,6.809442895
102,9.62325228
103,6.809442895
104,6.809442895
105,6.809442895
106,6.809442895
107,9.62325228
108,9.62325228
109,9.62325228
110,6.809442895
111,6.809442895
112,6.809442895
113,6.809442895
114,9.62325228
115,9.62325228
116,6.809442895
117,9.62325228
118,6.809442895
119,6.809442895
120,12.07841154
121,14.24503037
122,6.809442895
123,6.809442895
124,6.809442895
125,6.809442895
126,9.62325228
127,9.62325228
128,9.62325228
129,9.62325228
130,9.62325228
131,9.62325228
132,9.62325228
133,6.809442895
134,6.809442895
135,6.809442895
136,6.809442895
137,6.809442895
138,6.809442895
139,6.809442895
140,6.809442895
141,9.62325228
142,6.809442895
143,9.62325228
144,6.809442895
145,9.62325228
146,9.62325228
147,6.809442895
148,6.809442895
149,6.809442895
150,6.809442895
151,6.809442895
152,6.809442895
153,6.809442895
154,6.809442895
155,6.809442895
156,6.809442895
157,6.809442895
158,6.809442895
159,6.809442895
160,6.809442895
161,6.809442895
162,6.809442895
163,6.809442895
164,6.809442895
165,9.632383036
166,9.632383036
167,9.632383036
168,12.11066213
169,9.632383036
170,10.69431568
171,9.632383036
172,9.632383036
173,12.11066213
174,10.05343359
175,9.632383036
176,8.910912421
177,10.69431568
178,12.11066213
179,9.632383036
180,9.632383036
181,12.11066213
182,9.632383036
183,9.632383036
184,12.58402237
185,12.02350804
186,9.632383036
187,9.632383036
188,9.632383036
189,10.69431568
190,8.910912421
191,9.632383036
192,12.02350804
193,9.632383036
194,9.632383036
195,9.632383036
196,12.02350804
197,9.632383036
198,9.632383036
199,12.11066213
200,12.02350804
201,12.02350804
202,12.11066213
203,12.02350804
204,9.632383036
205,9.632383036
206,11.05435084
207,9.946470735
208,11.20476821
209,3.845970761
210,3.927412912
211,6.031452961
212,3.845970761
213,6.031452961
214,6.031452961
215,6.031452961
216,6.031452961
217,9.169427202
218,6.031452961
219,2.790342551
220,4.641491681
221,3.213590411
222,2.902468616
223,3.927412912
224,3.213590411
225,3.213590411
226,3.213590411
227,4.171582189
228,3.213590411
229,3.213590411
230,3.213590411
231,3.213590411
232,6.031452961
233,3.213590411
234,3.213590411
235,3.213590411
236,3.213590411
237,3.213590411
238,3.213590411
239,4.845724814
240,3.845970761
241,6.031452961
242,3.213590411
243,4.171582189
244,4.845724814
245,3.749357997
246,6.031452961
247,6.031452961
248,4.171582189
249,4.171582189
250,6.031452961
251,6.031452961
252,4.171582189
253,6.031452961
254,6.031452961
255,4.477719699
256,4.171582189
257,4.171582189
258,3.927412912
259,4.171582189
260,6.031452961
261,3.845970761
262,6.031452961
263,3.213590411
264,6.031452961
265,6.031452961
266,6.031452961
267,4.171582189
268,6.031452961
269,6.031452961
270,3.845970761
271,6.031452961
272,3.213590411
273,6.031452961
274,4.845724814
275,3.213590411
276,6.031452961
277,6.031452961
278,3.213590411
279,6.031452961
280,6.031452961
281,3.927412912
282,6.031452961
283,3.213590411
284,6.031452961
285,4.171582189
286,4.845724814
287,6.031452961
288,3.213590411
289,3.213590411
290,6.031452961
291,4.171582189
292,6.031452961
293,4.845724814
294,6.031452961
295,6.485167366
296,6.031452961
297,4.171582189
298,4.421275153
299,2.790342551
300,4.845724814
301,4.845724814
302,5.441597496
303,6.031452961
304,6.031452961
305,3.927412912
306,6.031452961
307,3.213590411
308,3.213590411
309,4.845724814
310,2.401782425
311,4.845724814
312,4.845724814
313,6.031452961
314,3.213590411
315,6.031452961
316,3.213590411
317,3.213590411
318,4.477719699
319,47.80660591
320,47.80660591
321,47.80660591
322,47.80660591
323,47.80660591
324,47.80660591
325,47.80660591
326,47.80660591
327,34.19439492
328,47.80660591
329,47.80660591
330,47.80660591
331,47.80660591
332,48.49764608
333,47.80660591
334,35.98284472
335,18.23261747
336,35.98284472
337,35.98284472
338,35.98284472
339,35.98284472
340,18.23261747
341,35.98284472
342,40.20674802
343,35.98284472
344,42.87635546
345,18.23261747
346,35.98284472
347,18.23261747
348,31.4956439
349,35.98284472
350,36.82282328
351,31.404854
352,18.23261747
353,7.308281191
354,6.404699202
355,6.103959903
356,7.308281191
357,9.409001562
